Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,LR_Signal
2014-03-24,17.232826105958644,17.29939899976773,17.12528422560846,17.257471084594727,355700800,0.0,0.0,1
2014-03-25,17.33140694264178,17.467432942033508,17.270273102454734,17.44310760498047,282293200,0.0,0.0,1
2014-03-26,17.492073018826378,17.571448702903265,17.24690527829302,17.276350021362305,299768000,0.0,0.0,1
2014-03-27,17.284033191288902,17.331403575293773,17.1272030851132,17.202096939086914,222031600,0.0,0.0,1
2014-03-28,17.22962123232051,17.24946472669615,17.099355674316108,17.182891845703125,200564000,0.0,0.0,1
2014-03-31,17.258751513265707,17.309321751800468,17.153129198594755,17.17905616760254,168669200,0.0,0.0,1
2014-04-01,17.211699363868064,17.34324692751746,17.1800136976384,17.336204528808594,200760000,0.0,0.0,1
2014-04-02,17.35957235577871,17.3947792277125,17.291719173845234,17.365013122558594,180420800,0.0,0.0,1
2014-04-03,17.327885508464743,17.363412020900398,17.20786216725542,17.24466896057129,162344000,0.0,0.0,1
2014-04-04,17.277314957722457,17.283395009803943,16.981896559876173,17.021583557128906,275251200,0.0,0.0,1
2014-04-07,16.899960547118607,16.992139060895,16.703763058109985,16.754331588745117,289850400,0.0,0.0,1
2014-04-08,16.80937554226733,16.83914163092594,16.601653916445564,16.75336456298828,243888400,0.0,0.0,1
2014-04-09,16.727763035922827,16.979012542434972,16.707919541752556,16.97357177734375,206169600,0.0,0.0,1
2014-04-10,16.98509186399013,17.035022804064536,16.744725607299074,16.754648208618164,239652000,0.0,0.0,1
2014-04-11,16.611255617255452,16.73384117327502,16.551725147632304,16.630781173706055,271717600,0.0,0.0,1
2014-04-14,16.704083155561307,16.712404126823838,16.553974064695886,16.69704246520996,205674000,0.0,0.0,1
2014-04-15,16.65191115930699,16.695758639042943,16.365774389743635,16.57797622680664,266490000,0.0,0.0,1
2014-04-16,16.580855066407807,16.678154687628957,16.455710622712573,16.611581802368164,214765600,0.0,0.0,1
2014-04-17,16.643267857580643,16.891637184464685,16.617662243679188,16.80137825012207,284334400,0.0,0.0,1
2014-04-21,16.8141784003798,17.03182095619389,16.77000957803861,17.000776290893555,182548800,0.0,0.0,1
2014-04-22,16.90923775559124,17.02190073406909,16.851307197663232,17.01774024963379,202563200,0.0,0.0,1
2014-04-23,16.933246794547237,16.99950004377856,16.785696569395096,16.795299530029297,394940000,0.0,0.0,1
2014-04-24,18.186289965079354,18.243581239195954,17.94688262394586,18.17220687866211,759911600,0.0,0.0,1
2014-04-25,18.068507354877045,18.30727372080335,18.050265491705158,18.305675506591797,390275200,0.0,0.0,1
2014-04-28,18.333198686572484,19.06774298602347,18.325195651147762,19.014612197875977,669485600,0.0,0.0,1
2014-04-29,19.003417674642428,19.075111707634434,18.868030938282796,18.958288192749023,337377600,0.0,0.0,1
2014-04-30,18.96820566715867,19.185528626618858,18.87730744206685,18.88658905029297,456640800,0.0,0.0,1
2014-05-01,18.947721805698627,19.037339753007615,18.767207339591835,18.931079864501953,244048000,0.0,0.0,1
2014-05-02,18.958601916603577,19.01813410973089,18.87442474930291,18.96628189086914,191514400,0.0,0.0,1
2014-05-05,18.88818865412562,19.235777152912625,18.883706817264756,19.234495162963867,287067200,0.0,0.0,1
2014-05-06,19.261382015387962,19.34491819392916,19.024856567382812,19.024856567382812,374564400,0.0,0.0,1
2014-05-07,19.05174700465735,19.117039632085735,18.811059283426836,18.958288192749023,282864400,0.0,0.0,1
2014-05-08,18.93285932915058,19.131120378193327,18.873317760114997,18.92449188232422,230297200,0.1175,0.0,1
2014-05-09,18.813450578707368,18.868486988901665,18.677950555220484,18.84563636779785,291597600,0.0,0.0,1
2014-05-12,18.908401010176956,19.106981780804336,18.905502999450064,19.08026885986328,213208800,0.0,0.0,1
2014-05-13,19.0535460885444,19.135295395394536,19.011707150822804,19.110191345214844,159737200,0.0,0.0,1
2014-05-14,19.067387482432753,19.227346958356453,19.04517972162066,19.113733291625977,166404000,0.0,0.0,1
2014-05-15,19.14045332183328,19.201603749198576,18.926100241244775,18.951204299926758,230846000,0.0,0.0,1
2014-05-16,18.9450856378693,19.23153313036378,18.84112855234184,19.23089027404785,276256400,0.0,0.0,1
2014-05-19,19.241833296741007,19.54694769786542,19.225096686632515,19.45876121520996,317755200,0.0,0.0,1
2014-05-20,19.456182624993236,19.51701160534315,19.334522945426528,19.46261978149414,234836000,0.0,0.0,1
2014-05-21,19.434306759243725,19.52667699676064,19.37734004211491,19.51412582397461,196859600,0.0,0.0,1
2014-05-22,19.523452146217192,19.628053808905843,19.442990254308256,19.545015335083008,200760000,0.0,0.0,1
2014-05-23,19.544373125378446,19.785117671609367,19.519269069276042,19.765806198120117,232209600,0.0,0.0,1
2014-05-27,19.822129834516463,20.143336271988975,19.814083817029488,20.135934829711914,348866000,0.0,0.0,1
2014-05-28,20.148490664097928,20.271116399296677,20.076396199323938,20.083799362182617,315481600,0.0,0.0,1
2014-05-29,20.20738226722796,20.497692031317627,20.204807404433065,20.449735641479492,376474000,0.0,0.0,1
2014-05-30,20.533419358242377,20.732644663348434,20.241179272406328,20.373138427734375,564020800,0.0,0.0,1
2014-06-02,20.404038769941614,20.43203911967557,20.03519733057326,20.233135223388672,369350800,0.0,0.0,1
2014-06-03,20.22701464029595,20.55787762536721,20.22025605535187,20.519254684448242,292709200,0.0,0.0,1
2014-06-04,20.51603973194851,20.85237391595272,20.47323306304115,20.753564834594727,335482000,0.0,0.0,1
2014-06-05,20.7979771858293,20.900003971010637,20.68243323100216,20.834989547729492,303805600,0.0,0.0,1
2014-06-06,20.917064643176676,20.960837314284305,20.74230054350666,20.77770233154297,349938400,0.0,0.0,1
2014-06-09,20.88487882297657,21.150727411929935,20.670848922227886,21.11017417907715,301660000,0.0,7.0,-1
