Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Return,Return%,N5D_Return,N5D_Return%,SMA3,SMA5,SMA10,SMA15,SMA20,SMA30,SMA50,EMA3,EMA5,EMA10,EMA15,EMA20,EMA30,EMA50,PP,S1C,S2C,S3C,R1C,R2C,R3C,S1F,S2F,S3F,R1F,R2F,R3F,SMA_Signal,MACD_Signal,RSI,RSI_Signal,Slow_K,Slow_D,Stoch_Osci,Fast_K,Fast_D,Stoch_RSI
2018-03-27,2667.570068359375,2674.780029296875,2596.1201171875,2612.6201171875,3706350000,0,0,-45.929931640625,-0.017580026785550755,32.06982421875,0.012274966424614897,2619.81005859375,2643.010009765625,2689.372998046875,2712.960009765625,2711.310510253906,2714.797672526042,,2629.609547961546,2644.5688499018606,2673.2527683478656,2688.6009888629524,2694.346346132672,2714.797672526042,,2627.840087890625,2580.900146484375,2549.18017578125,2502.240234375,2659.56005859375,2706.5,2738.219970703125,2597.792001464844,2579.228262207031,2549.18017578125,2657.888174316406,2676.451913574219,2706.5,0.0,0.0,39.963625566037415,0,22.126450052593217,16.185422026165444,1,40.106705605602734,35.10405956445598,0
2018-03-28,2611.300048828125,2632.64990234375,2593.06005859375,2605.0,3864500000,0,0,-7.6201171875,-0.0029251889395393474,57.840087890625,0.022203488633637237,2625.3900553385415,2621.6240234375,2674.925,2704.8400065104165,2705.869006347656,2712.8663411458333,,2617.304773980773,2631.3792332679072,2660.8431741027994,2678.1508652550833,2685.8371703105126,2707.7139517179103,,2610.2366536458335,2587.823404947917,2570.6468098958335,2548.233561197917,2627.413248697917,2649.8264973958335,2667.003092447917,2595.1133333333337,2585.7701302083333,2570.6468098958335,2625.3599739583333,2634.7031770833337,2649.8264973958335,0.0,0.0,39.16183816774472,0,27.420369798806547,22.147074404361856,0,51.68431721877235,52.33216530404676,0
2018-03-29,2614.409912109375,2659.070068359375,2609.719970703125,2640.8701171875,3565990000,0,0,35.8701171875,0.01358268888501844,-36.400146484375,-0.013783391408563776,2619.4967447916665,2621.06005859375,2664.27900390625,2698.300016276042,2704.029016113281,2710.941015625,,2629.0874455841367,2634.5428612411047,2657.2117092091084,2673.4907717466353,2681.554593822607,2703.4014462643354,,2636.5533854166665,2614.036702473958,2587.2032877604165,2564.686604817708,2663.386800130208,2685.9034830729165,2712.736897786458,2617.701648111979,2606.055025065104,2587.2032877604165,2655.405122721354,2667.051745768229,2685.9034830729165,0.0,0.0,44.77826635615714,0,32.233389178541266,27.26006967664704,0,97.1090249784689,62.96668260094799,-1
2018-04-02,2633.449951171875,2638.300048828125,2553.800048828125,2581.8798828125,3598520000,0,0,-58.990234375,-0.02284778419309755,31.280029296875,0.012115214772424254,2609.25,2619.784033203125,2647.2659912109375,2684.65400390625,2698.560510253906,2705.9636800130206,,2605.4836641983184,2616.9885350982363,2643.5150135006343,2662.0394106298686,2672.061764202597,2695.561345396475,,2591.32666015625,2544.353271484375,2506.82666015625,2459.853271484375,2628.853271484375,2675.82666015625,2713.353271484375,2559.04766015625,2539.10566015625,2506.82666015625,2623.60566015625,2643.54766015625,2675.82666015625,0.0,0.0,38.4858528928053,0,34.15608246987228,31.269947149073392,0,0.0,49.597780732413746,1
2018-04-03,2592.169921875,2619.139892578125,2575.489990234375,2614.449951171875,3392810000,0,0,32.570068359375,0.012457713464652907,42.420166015625,0.016225273693463136,2612.3999837239585,2610.964013671875,2637.418994140625,2673.4159993489584,2693.2360107421873,2702.0380126953123,,2609.9668076850967,2616.142340456116,2638.230456713587,2656.0907281976192,2666.5749248663374,2690.3283522206943,,2603.026611328125,2586.913330078125,2559.376708984375,2543.263427734375,2630.563232421875,2646.676513671875,2674.213134765625,2586.3523486328127,2576.0509716796873,2559.376708984375,2619.7008740234373,2630.0022509765627,2646.676513671875,0.0,0.0,43.2293342219626,0,45.06479319010276,37.151421612838796,0,75.38413292108348,57.497719299850786,0
2018-04-04,2584.0400390625,2649.860107421875,2573.610107421875,2644.68994140625,3350340000,0,0,30.239990234375,0.011434228928286246,-2.5,-0.0009452903952403152,2613.6732584635415,2617.377978515625,2630.193994140625,2665.374658203125,2689.064501953125,2699.65234375,,2627.3283745456733,2625.658207439494,2639.4049084758894,2654.6656298486982,2664.4906407272815,2687.3839386197624,,2622.7200520833335,2595.579996744792,2546.4700520833335,2519.329996744792,2671.829996744792,2698.9700520833335,2748.079996744792,2593.5925520833334,2575.5975520833335,2546.4700520833335,2651.8475520833335,2669.8425520833334,2698.9700520833335,0.0,0.0,47.29317517527301,0,53.22742167031149,44.14943244342887,0,100.0,58.46137764036115,-1
2018-04-05,2657.360107421875,2672.080078125,2649.580078125,2662.840087890625,3178970000,0,0,18.150146484375,0.0068160857900981505,1.14990234375,0.0004318330450931801,2640.6599934895835,2628.94599609375,2625.285009765625,2659.598665364583,2685.86650390625,2698.369344075521,,2645.0842312181494,2638.0521675898713,2643.6658501876595,2655.687437103939,2664.3334452190284,2685.800464379173,,2661.5000813802085,2650.920084635417,2639.0000813802085,2628.420084635417,2673.420084635417,2684.0000813802085,2695.920084635417,2652.9050813802087,2647.5950813802083,2639.0000813802085,2670.0950813802083,2675.4050813802087,2684.0000813802085,0.0,0.0,49.624050946278956,0,76.21999636001367,58.170737073476005,0,100.0,91.79471097369448,-2
2018-04-06,2645.820068359375,2656.8798828125,2586.27001953125,2604.469970703125,3299700000,0,0,-58.3701171875,-0.022411514758890427,51.830078125,0.0199004322215347,2637.3333333333335,2621.665966796875,2621.3630126953126,2650.074658203125,2679.14150390625,2695.053011067708,,2624.777100960637,2626.858101960956,2636.539326645017,2649.2852538038373,2658.6321619317996,2680.5533357549116,,2615.873291015625,2574.86669921875,2545.263427734375,2504.2568359375,2645.4765625,2686.483154296875,2716.08642578125,2588.9003232421874,2572.2363955078126,2545.263427734375,2642.8462587890626,2659.5101865234374,2686.483154296875,0.0,0.0,43.033074457369715,0,73.78891927359338,67.74544576797287,0,40.82546874039719,80.27515624679906,-1
2018-04-09,2617.179931640625,2653.550048828125,2610.7900390625,2613.159912109375,3062960000,0,0,8.68994140625,0.003325453358587371,64.68017578125,0.024751709790710574,2626.8233235677085,2627.92197265625,2623.8530029296876,2640.8179850260417,2670.47099609375,2690.5816731770833,,2618.968506535006,2622.2920386770957,2632.288524002173,2644.7695860920294,2654.301471472521,2676.2053729390705,,2625.8333333333335,2598.116617838542,2583.0733235677085,2555.356608072917,2640.876627604167,2668.5933430989585,2683.636637369792,2609.4990096028646,2599.4076472981774,2583.0733235677085,2642.1676570638024,2652.2590193684896,2668.5933430989585,0.0,0.0,44.220866142917984,0,58.39710623033289,69.46867395464668,0,18.021482667203994,52.94898380253372,1
2018-04-10,2638.409912109375,2665.449951171875,2635.780029296875,2656.8701171875,3543930000,0,0,43.710205078125,0.016451765856132852,49.519775390625,0.018638387729335248,2624.8333333333335,2636.406005859375,2623.685009765625,2637.081331380208,2664.1635009765623,2686.490673828125,,2637.919311861253,2633.8180648472303,2636.757904581323,2646.2821524789633,2654.546104397757,2674.95793708413,,2652.7000325520835,2639.950113932292,2623.0301106770835,2610.280192057292,2669.620035807292,2682.3699544270835,2699.289957682292,2641.3661223958334,2634.3640208333336,2623.0301106770835,2664.0339427083336,2671.0360442708334,2682.3699544270835,0.0,0.0,49.88151380243016,0,55.85232877841607,62.67945142744748,0,100.0,52.94898380253372,-1
